"tipo_elem";distrito;id;"cod_cent";"nombre";utm_x;utm_y;longitud;latitud
"URB";5;5598;"61091";"VICTOR DE LA SERNA S-N (URUGUAY-COLOMBIA)";443041.310862804;4478617.706505272;-3.67176853010915;40.45627280876183
"URB";5;5599;"61092";"COLOMBIA E-O (NICARAGUA-VICTOR DE LA SERNA)";443093.266685899;4478692.963953603;-3.67116255138311;40.45695432252745
"URB";5;3773;"61093";"COLOMBIA O-E (PUERTO RICO-VICTOR DE LA SERNA)";442928.208018433;4478694.450166344;-3.67310927280464;40.45695639208343
"URB";5;5600;"61094";"PUERTO RICO N-S (NICARAGUA-COLOMBIA)";442816.024447809;4478755.561889792;-3.67443779298976;40.4574992030805
"URB";20;6406;"64021";"María Sevilla Odiago - Niza-Av. Canillejas a Vicálvaro";448182.793159666;4475973.78056289;-3.61091784236402;40.43279122997527
"URB";20;6407;"64022";"Arcos de Jalón - Pobladura del Valle-Juli García Boutan";448117.390199194;4475462.784938042;-3.61164718428018;40.42818378935629
"URB";20;6408;"64023";"Av. Guadalajara  - Rumania-Marsella";448215.023753967;4474898.081412245;-3.61045024419101;40.42310267002787
"URB";20;6409;"64024";"Suecia - Marsella-Av. Canillejas a Vicálvaro";448202.777731491;4474718.507743597;-3.61057996761845;40.42148419485615
"URB";5;5602;"61096";"URUGUAY E-O (VICTOR DE LA SERNA-PUERTO RICO)";442924.032248424;4478490.913235323;-3.67314021958724;40.45512254943648
"URB";5;5603;"61097";"URUGUAY O-E (PL.REPUBLICA ECUADOR-PUERTO RICO)";442763.979658481;4478493.591902412;-3.67502795865843;40.45513567306723
"URB";20;6410;"64025";"Aquitania - Toscana-Av. Canillejas a Vicálvaro";448072.891040037;4474654.030887646;-3.61210571011841;40.42089525108207
"URB";20;6411;"64026";"Av. Guadalajara  - San Román del Valle-Pl. Alsacia";447227.400526908;4474427.940924519;-3.62205285926661;40.4188053011171
"URB";20;3431;"64028";"Toscana - Aquitania-Av. Guadalajara";448041.874366401;4474682.795401313;-3.6124736583785;40.42115244375553
"URB";20;3529;"64029";"Aquitania - Sarre-Toscana";447990.57674431;4474618.457941572;-3.61307305167;40.42056964669436
"URB";20;10624;"64040";"Luis Aragonés - San Venancio - San Hilario";448648.01668011;4477527.460998495;-3.60555878815039;40.44681658714538
"URB";20;10623;"64041";"Luis Aragonés - Acceso M40 - San Hilario";448706.701452703;4477412.99804861;-3.60485755150528;40.44578905878122
"URB";14;6434;"65019";"Av. Doctor García Tapia - Marroquina-Av. Moratalaz";445527.503916643;4473517.888270549;-3.6420111559672;40.41049747348428
"URB";14;3812;"65021";"Doctor Garcia Tapia 216 E-O - Fobos-Fuente Carrantona";446285.664199048;4473216.976346209;-3.63305062223628;40.40783594332782
"URB";14;6436;"65022";"Av. Doctor García Tapia - Rabat-Fuente Carrantona";446577.565602767;4473164.670927713;-3.62960622308654;40.40738352689879
